Route,NumObj,FileType,NumNodes,NumEdges,MOSP_File,Runtime,LabelsProcessed,Wrapper_SequentialTime,NumSolutions
4,3,pkl,201,2476,NAMOA_pqfifo_simple_flexmem_algo_3_4.cpp,0.0022746,1732,0.00236957,44
4,3,pkl,201,2476,NAMOA_pqfifo_simple_flexmem_algo_4_4.cpp,0.00496574,6467,0.00507659,44
4,12,pkl,201,2476,NAMOA_pqfifo_simple_flexmem_algo_1_2.cpp,9.68862,49882,9.68875,10999
4,12,pkl,201,2476,NAMOA_pqfifo_simple_flexmem_algo_2_2.cpp,8.92264,62453,8.92275,10999
4,12,pkl,201,2476,NAMOA_pqfifo_simple_flexmem_algo_3_4.cpp,10.5395,105081,10.5396,10999
4,12,pkl,201,2476,NAMOA_pqfifo_simple_flexmem_algo_4_4.cpp,8.45678,407738,8.45688,10999
5,2,pkl,781,7787,NAMOA_pqfifo_simple_flexmem_algo_1_2.cpp,0.00523351,1044,0.00534973,12
5,2,pkl,781,7787,NAMOA_pqfifo_simple_flexmem_algo_2_2.cpp,0.00519517,1975,0.00529591,12
5,2,pkl,781,7787,NAMOA_pqfifo_simple_flexmem_algo_3_4.cpp,0.00667547,7232,0.0068028,12
5,2,pkl,781,7787,NAMOA_pqfifo_simple_flexmem_algo_4_4.cpp,0.0115361,14970,0.011692,12
5,3,pkl,781,7787,NAMOA_pqfifo_simple_flexmem_algo_1_2.cpp,2.89943,59000,2.89964,1171
5,3,pkl,781,7787,NAMOA_pqfifo_simple_flexmem_algo_2_2.cpp,3.39933,116992,3.40022,1171
5,3,pkl,781,7787,NAMOA_pqfifo_simple_flexmem_algo_3_4.cpp,2.80361,366932,2.80633,1171
5,3,pkl,781,7787,NAMOA_pqfifo_simple_flexmem_algo_4_4.cpp,2.97696,823255,2.98885,1171
5,4,pkl,781,7787,NAMOA_pqfifo_simple_flexmem_algo_1_2.cpp,141.614,376386,141.614,10503
5,4,pkl,781,7787,NAMOA_pqfifo_simple_flexmem_algo_2_2.cpp,165.115,745453,165.115,10503
5,4,pkl,781,7787,NAMOA_pqfifo_simple_flexmem_algo_3_4.cpp,127.344,2238372,127.345,10503
5,4,pkl,781,7787,NAMOA_pqfifo_simple_flexmem_algo_4_4.cpp,112.98,5351501,112.98,10503
5,5,pkl,781,7787,NAMOA_pqfifo_simple_flexmem_algo_1_2.cpp,1224.19,886879,1224.19,33305
5,5,pkl,781,7787,NAMOA_pqfifo_simple_flexmem_algo_2_2.cpp,1278.16,1882803,1278.16,33305
5,5,pkl,781,7787,NAMOA_pqfifo_simple_flexmem_algo_3_4.cpp,904.576,5301021,904.577,33305
5,5,pkl,781,7787,NAMOA_pqfifo_simple_flexmem_algo_4_4.cpp,766.126,12806959,766.126,33305
5,6,pkl,781,7787,NAMOA_pqfifo_simple_flexmem_algo_1_2.cpp,timeout 30m,,,
5,6,pkl,781,7787,NAMOA_pqfifo_simple_flexmem_algo_2_2.cpp,timeout 30m,,,
5,6,pkl,781,7787,NAMOA_pqfifo_simple_flexmem_algo_3_4.cpp,timeout 30m,,,
5,6,pkl,781,7787,NAMOA_pqfifo_simple_flexmem_algo_4_4.cpp,1723.24,18998175,1723.24,49508
5,12,pkl,781,7787,NAMOA_pqfifo_simple_flexmem_algo_1_2.cpp,timeout 30m,,,
5,12,pkl,781,7787,NAMOA_pqfifo_simple_flexmem_algo_2_2.cpp,timeout 30m,,,
5,12,pkl,781,7787,NAMOA_pqfifo_simple_flexmem_algo_3_4.cpp,timeout 30m,,,
5,12,pkl,781,7787,NAMOA_pqfifo_simple_flexmem_algo_4_4.cpp,timeout 30m,,,
